Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
27-10-2021 12:00,India,India-Tata,181,58,3.35%,96.13%,32.04%,191,197,4.1
27-10-2021 08:00,India,India-Tata,143,56,5.59%,98.60%,39.16%,189,203,3.79
27-10-2021 09:00,Jordan,Jordan-Zain-JORFL,116,61,0.92%,99.14%,52.59%,188,185,3.2
27-10-2021 06:00,Egypt,Egypt-EtisalatMisr-EGYEM,111,29,1.89%,100.00%,26.13%,186,385,3.79
27-10-2021 05:00,India,India-Idea,217,68,7.87%,94.47%,31.34%,183,161,4.26
27-10-2021 04:00,Bangladesh,Bangladesh-Grameen-BGDGP,184,52,4.35%,100.00%,28.26%,172,199,2.42
27-10-2021 09:00,Bangladesh,Bangladesh-Banglalink-BGDBL,142,37,7.75%,96.48%,26.06%,170,276,2.1
27-10-2021 08:00,Bahrain,Bahrain-Batelco-BHRBT,155,61,0.65%,99.35%,39.35%,168,166,5.38
27-10-2021 01:00,Sudan,Sudan-Mtn-SDNBT,7,4,,100.00%,57.14%,163,"2,452",5.28
27-10-2021 09:00,Jordan,Jordan-Orange-JORMC,181,64,1.27%,96.69%,35.36%,162,152,3.27
27-10-2021 09:00,Yemen,Yemen-Sabafon-YEMSA,189,35,3.64%,92.59%,18.52%,162,278,11.71
27-10-2021 03:00,UAE,UAE-Etisalat-ARETC,115,34,21.65%,97.39%,29.57%,158,279,3.96
27-10-2021 05:00,USA/Canada,USA-ATT-Cingular-USACG,18,10,5.56%,88.89%,55.56%,156,939,5.01
27-10-2021 11:00,India,India-Unitech,68,27,2.94%,95.59%,39.71%,156,346,4.05
27-10-2021 11:00,Bangladesh,Bangladesh-Banglalink-BGDBL,208,46,7.28%,99.04%,22.12%,155,202,2.28
27-10-2021 03:00,Bangladesh,Bangladesh-Grameen-BGDGP,142,36,6.38%,100.00%,25.35%,154,256,2.14
27-10-2021 07:00,Bangladesh,Bangladesh-Banglalink-BGDBL,146,33,5.52%,97.95%,22.60%,146,266,3.09
27-10-2021 05:00,UAE,UAE-Etisalat-ARETC,122,46,22.64%,94.26%,37.70%,142,185,3.86
27-10-2021 10:00,Sudan,Sudan-Mtn-SDNBT,111,34,13.27%,89.19%,30.63%,142,250,4.52
27-10-2021 10:00,India,India-Unitech,84,28,1.20%,94.05%,33.33%,139,298,4.07
27-10-2021 11:00,United Kingdom,UK-T-Mobile-GBRME,135,53,,91.11%,39.26%,138,157,3.07
27-10-2021 10:00,Yemen,Yemen-Sabafon-YEMSA,192,31,5.92%,91.67%,16.15%,138,267,12.12
27-10-2021 03:00,USA/Canada,USA-ATT-Cingular-USACG,20,9,,100.00%,45.00%,138,918,4.8
27-10-2021 01:00,Bangladesh,Bangladesh-Grameen-BGDGP,77,11,1.30%,100.00%,14.29%,137,747,2.64
27-10-2021 11:00,Bahrain,Bahrain-Zain-BHRMV,119,48,0.87%,98.32%,40.34%,134,167,5.06
27-10-2021 04:00,USA/Canada,USA-ATT-Cingular-USACG,9,4,11.11%,100.00%,44.44%,134,"2,003",4.54
27-10-2021 02:00,Egypt,Egypt-Vodafone-EGYMS,60,19,,100.00%,31.67%,131,415,3.01
27-10-2021 02:00,UAE,UAE-Etisalat-ARETC,106,38,22.92%,97.17%,35.85%,131,207,3.49
27-10-2021 12:00,Bahrain,Bahrain-Zain-BHRMV,131,58,1.56%,100.00%,44.27%,130,135,4.83
27-10-2021 02:00,Yemen,Yemen-Mtn-YEMSP,43,13,2.63%,100.00%,30.23%,126,584,6.1
27-10-2021 09:00,Sudan,Sudan-Mtn-SDNBT,70,28,16.42%,98.57%,40.00%,126,270,5.22
27-10-2021 07:00,India,India-Tata,140,37,5.11%,95.71%,26.43%,125,203,4.3
27-10-2021 10:00,India,India-Bpl,77,35,17.81%,100.00%,45.45%,125,214,3.87
27-10-2021 09:00,India,India-Tata,131,36,8.06%,96.95%,27.48%,122,203,3.92
27-10-2021 07:00,India,India-Unitech,93,30,5.38%,92.47%,32.26%,122,243,4.45
27-10-2021 09:00,India,India-Unitech,94,38,6.38%,97.87%,40.43%,120,189,4.67
27-10-2021 10:00,India,India-Tata,153,53,10.07%,98.04%,34.64%,119,135,4.05
27-10-2021 00:00,USA/Canada,USA-ATT-Cingular-USACG,14,5,8.33%,100.00%,35.71%,116,"1,394",4.04
27-10-2021 00:00,Yemen,Yemen-Mtn-YEMSP,113,31,2.78%,97.35%,27.43%,116,225,7.95
27-10-2021 08:00,France,France-Orange-FRAF1,4,2,,75.00%,50.00%,114,"3,430",2.77
27-10-2021 11:00,India,India-Bpl,71,29,15.71%,98.59%,40.85%,111,230,3.56
27-10-2021 12:00,India,India-Bpl,92,40,13.64%,100.00%,43.48%,111,167,3.55
27-10-2021 03:00,Jordan,Jordan-Orange-JORMC,18,3,,100.00%,16.67%,111,"2,219",3.33
27-10-2021 08:00,Egypt,Egypt-Vodafone-EGYMS,132,24,2.54%,99.24%,18.18%,106,266,3.6
27-10-2021 11:00,France,France-Orange-FRAF1,54,25,,98.15%,46.30%,106,254,3.49
27-10-2021 00:00,Jordan,Jordan-Orange-JORMC,74,19,1.64%,93.24%,25.68%,105,333,3.04
27-10-2021 10:00,Jordan,Jordan-Umniah-JORUM,55,34,3.70%,96.36%,61.82%,103,182,3.71
27-10-2021 12:00,Germany,Germany-T-Mobile-DEUD1,57,24,,98.25%,42.11%,99,248,6.17
27-10-2021 11:00,India,India-Aircel,57,24,11.54%,87.72%,42.11%,99,248,4.15
27-10-2021 12:00,India,India-Unitech,111,35,3.67%,96.40%,31.53%,99,170,4
27-10-2021 01:00,Yemen,Yemen-Mtn-YEMSP,51,16,4.35%,100.00%,31.37%,98,368,7.57
27-10-2021 06:00,India,India-Tata,57,24,7.02%,100.00%,42.11%,95,236,4.51
27-10-2021 11:00,Jordan,Jordan-Umniah-JORUM,41,24,5.00%,100.00%,58.54%,93,232,3.89
27-10-2021 12:00,France,France-Orange-FRAF1,67,35,,98.51%,52.24%,91,157,3.22
27-10-2021 12:00,India,India-Aircel,60,22,14.04%,85.00%,36.67%,91,249,4.46
27-10-2021 05:00,Egypt,Egypt-EtisalatMisr-EGYEM,122,24,1.79%,100.00%,19.67%,91,226,3.94
27-10-2021 10:00,Bahrain,Bahrain-Zain-BHRMV,116,40,,100.00%,34.48%,89,134,5.02
27-10-2021 03:00,USA/Canada,Canada-Bell-Mobility-CANBM,8,5,,100.00%,62.50%,88,"1,059",4.57
27-10-2021 05:00,Bangladesh,Bangladesh-Banglalink-BGDBL,107,24,6.54%,97.20%,22.43%,88,220,2.81
27-10-2021 08:00,Egypt,Egypt-Mobinil-EGYAR,230,35,1.49%,96.09%,15.22%,88,150,3.45
27-10-2021 06:00,Bangladesh,Bangladesh-Banglalink-BGDBL,173,25,3.47%,99.42%,14.45%,88,210,2.14
27-10-2021 09:00,India,India-Vodafone,48,17,6.25%,97.92%,35.42%,87,306,3.8
27-10-2021 01:00,France,France-SFR-FRAF2,2,2,,100.00%,100.00%,83,"2,501",4.45
27-10-2021 03:00,Egypt,Egypt-Mobinil-EGYAR,53,11,4.76%,98.11%,20.75%,82,448,3.86
27-10-2021 00:00,Yemen,Yemen-Sabafon-YEMSA,47,6,2.22%,100.00%,12.77%,82,815,11.83
27-10-2021 02:00,Bahrain,Bahrain-Batelco-BHRBT,52,20,,98.08%,38.46%,79,238,5.07
27-10-2021 09:00,India,India-Bpl,50,28,12.50%,96.00%,56.00%,79,169,3.16
27-10-2021 01:00,Egypt,Egypt-Vodafone-EGYMS,87,25,,98.85%,28.74%,79,189,3.94
27-10-2021 08:00,Sudan,Sudan-Mtn-SDNBT,64,21,12.96%,89.06%,32.81%,78,223,7.86
27-10-2021 11:00,Turkey,Turkey-TurkCell-TURTC,86,24,1.28%,95.35%,27.91%,78,195,4.17
27-10-2021 00:00,India,India-Tata,26,3,,96.15%,11.54%,78,"1,559",5.2
27-10-2021 07:00,Bahrain,Bahrain-Batelco-BHRBT,88,30,1.14%,100.00%,34.09%,76,152,5.28
27-10-2021 08:00,India,India-Aircel,43,18,11.90%,95.35%,41.86%,76,252,3.57
27-10-2021 11:00,USA/Canada,USA-ATT-Cingular-USACG,43,11,2.33%,97.67%,25.58%,76,412,4.58
27-10-2021 09:00,Qatar,Qatar-Qtel-QATQT,47,21,,100.00%,44.68%,75,215,4.23
27-10-2021 08:00,India,India-Unitech,65,20,6.25%,96.92%,30.77%,75,225,3.76
27-10-2021 08:00,Jordan,Jordan-Orange-JORMC,86,27,3.61%,97.67%,31.40%,74,164,3.64
27-10-2021 12:00,Jordan,Jordan-Umniah-JORUM,60,29,5.26%,100.00%,48.33%,73,150,3.94
