Day,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
24-10-2021,Syria,Syria-Mtn-SYRSP,241,47,,97.10%,19.50%,90,115,6.79
24-10-2021,Georgia,Georgia-Magticom-GEOMA,240,70,1.38%,96.25%,29.17%,80,69,5.95
24-10-2021,Cyprus,Cyprus-MTN-CYPSC,50,25,,98.00%,50.00%,73,175,4.52
24-10-2021,Greece,Greece-Cosmote-GRCCO,97,31,2.11%,100.00%,31.96%,67,130,4.9
24-10-2021,Sweden,Sweden-Tele2-SWEIQ,42,13,,100.00%,30.95%,66,303,4.61
24-10-2021,Bosnia Herzegovina,Bosnia-Eronet-BIHER,83,33,2.44%,95.18%,39.76%,64,116,3.4
24-10-2021,Burkina Faso,Burkina Faso-Airtel-BFACT,116,17,11.32%,96.55%,14.66%,59,208,5.12
24-10-2021,Belgium,Belgium-Belgacom-BELTB,66,30,6.06%,100.00%,45.45%,59,117,4.06
24-10-2021,Thailand,Thailand-dtacTriNet-THADT,21,9,6.67%,71.43%,42.86%,58,388,3.92
24-10-2021,Albania,Albania-Eagle-ALBEM,86,39,,98.84%,45.35%,56,86,2.61
24-10-2021,Italy,Italy-Vodafone-ITAOM,72,22,10.29%,100.00%,30.56%,49,133,4.93
24-10-2021,Austria,Austria-Tmobile-AUTMM,53,16,5.77%,100.00%,30.19%,48,179,3.78
24-10-2021,Ireland,Ireland-Meteor-IRLME,32,13,,100.00%,40.63%,44,202,4.91
24-10-2021,Indonesia,Indonesia-Indosat-IDNIM,32,19,6.90%,93.75%,59.38%,42,132,4.63
24-10-2021,Sudan,Sudan-Sudatel-SDNTL,259,41,1.79%,94.98%,15.83%,39,57,4.12
24-10-2021,Chad,Chad-Mic-TCDML,36,4,,86.11%,11.11%,34,506,3.58
24-10-2021,Hungary,Hungary-T-Mobile-HUNH2,4,4,,100.00%,100.00%,34,503,4.09
24-10-2021,Maldive Is.,Maldives-Dhiraagu-MDV01,24,7,8.33%,100.00%,29.17%,32,271,1.06
24-10-2021,Afghanistan,Afghanistan-Awcc-AFGAW,13,7,30.77%,100.00%,53.85%,31,268,6.27
24-10-2021,Indonesia,Indonesia-Telkomsel-IDNTS,78,17,14.67%,92.31%,21.79%,31,108,4.7
24-10-2021,Malaysia,Malaysia-Celcom-MYSCC,24,17,,91.67%,70.83%,30,106,3.83
24-10-2021,Ethiopia,Ethiopia-Ethio-ETH01,107,16,,85.05%,14.95%,29,109,2.99
24-10-2021,Morocco,Morocco-Wana-MARM3,5,3,20.00%,100.00%,60.00%,27,535,9.93
24-10-2021,Afghanistan,Afghanistan-Roshan-AFGTD,17,5,,100.00%,29.41%,27,319,4.53
24-10-2021,Korea (South),Korea-SK-KORSK,32,8,,87.50%,25.00%,26,196,4.75
24-10-2021,Hong Kong,Hong Kong-CSL-HKGTC,29,8,,100.00%,27.59%,22,166,6.66
24-10-2021,Sudan,Sudan-Zain-SUDMO,125,23,2.47%,58.40%,18.40%,21,55,3.11
24-10-2021,Qatar,Qatar-Vodafone-QATB1,102,21,,85.29%,20.59%,20,58,4.57
24-10-2021,Tunisia,Tunisia-Tunisiana-TUNTA,82,25,,90.24%,30.49%,20,47,4.68
24-10-2021,Romania,Romania-Vodafone-ROMMF,14,5,14.29%,100.00%,35.71%,18,215,4.89
24-10-2021,Czech Rep.,Czech Republic-Vodafone-CZECM,9,5,14.29%,100.00%,55.56%,17,203,3.67
24-10-2021,Lithuania,Lithuania-Bite-LTUMT,10,8,22.22%,100.00%,80.00%,16,122,0.93
24-10-2021,Portugal,Portugal-TMN-PRTTM,30,12,3.85%,93.33%,40.00%,15,77,2.41
24-10-2021,Australia / Cocos-Keeling Islands,Australia-Telstra-AUSTA,25,11,,100.00%,44.00%,15,83,10.55
24-10-2021,Nepal,Nepal-Ntc-NPLNM,98,15,,98.98%,15.31%,15,61,4.07
24-10-2021,Maldive Is.,Maldives-Wataniya-MDVWM,55,15,,98.18%,27.27%,15,59,3.66
24-10-2021,Belgium,Belgium-Base-BELKO,6,5,20.00%,100.00%,83.33%,14,165,4.67
24-10-2021,India,India-Reliance,14,3,,92.86%,21.43%,14,272,6.37
24-10-2021,Sri Lanka,Sri Lanka-Mtn-LKADG,55,10,,98.18%,18.18%,12,70,5.72
24-10-2021,Italy,Italy-TIM-Ship-ITAGT,9,2,11.11%,100.00%,22.22%,12,347,5.17
24-10-2021,Iraq,Iraq-Zain-IRQAT,42,11,2.38%,97.62%,26.19%,11,59,5.51
24-10-2021,Kuwait,Kuwait-Zain-KWTMT,28,8,,96.43%,28.57%,11,81,4.33
24-10-2021,Lebanon,Lebanon-MIC1-Alfa-LBNFL,147,4,,29.93%,2.72%,10,145,1.42
24-10-2021,Japan,Japan-Softbank-JPNJP,7,3,14.29%,100.00%,42.86%,9,190,7.73
24-10-2021,Nigeria,Nigeria-MTN-NGAMN,32,8,,100.00%,25.00%,9,69,4.46
24-10-2021,Malaysia,Malaysia-Digi-MYSMT,20,11,5.00%,100.00%,55.00%,9,47,4.07
24-10-2021,Romania,Romania-Orange-ROMMR,10,6,,100.00%,60.00%,9,85,4.93
24-10-2021,China,China-ChinaTelecom-CHNCT,83,3,,79.52%,3.61%,8,151,5.94
24-10-2021,Uganda,UGANDA - MOBILE MTN,23,5,,91.30%,21.74%,7,88,4.85
24-10-2021,Croatia,Croatia-T-Mobile-HRVCN,30,10,,96.67%,33.33%,7,43,3.99
24-10-2021,Netherlands,Netherlands-Vodafone-NLDLT,28,3,,96.43%,10.71%,7,141,4.6
24-10-2021,Tunisia,Tunisia-Tunisietele-TUNTT,40,6,,90.00%,15.00%,6,65,3.87
24-10-2021,Azerbaijan,Azerbaijan-Azercel-AZEAC,31,7,3.23%,100.00%,22.58%,6,54,5.07
24-10-2021,Turkey,Turkey-Vodafone-TURTS,22,3,,100.00%,13.64%,6,118,5.69
24-10-2021,China,China-Unicom-CHNCU,7,4,75.00%,57.14%,57.14%,5,80,5.45
24-10-2021,Ukraine,Ukraine-Kyivstar-UKRKS,26,6,,96.15%,23.08%,5,50,4.12
24-10-2021,Slovakia,Slovakia-Tmobile-SVKET,10,5,10.00%,100.00%,50.00%,5,56,3.13
24-10-2021,Mauritania,MAURITANIA - MURITEL MOBILES,19,1,,100.00%,5.26%,4,258,4.47
24-10-2021,Nepal,Nepal-Ncell-NPLM2,30,3,3.57%,100.00%,10.00%,3,67,5.47
24-10-2021,Greece,Greece-Vodafone-GRCPF,27,3,,96.30%,11.11%,3,63,3.78
24-10-2021,Georgia,Georgia-Geocel-GEOGC,8,2,,100.00%,25.00%,3,85,5.3
24-10-2021,Australia / Cocos-Keeling Islands,Australia-Optus-AUSOP,26,2,,100.00%,7.69%,2,75,7.54
24-10-2021,Algeria,Algeria-Djezzy-DZAOT,1,1,,100.00%,100.00%,2,141,9.44
24-10-2021,Hungary,Hungary-Vodafone-HUNVR,2,1,,100.00%,50.00%,2,140,5.11
24-10-2021,Austria,Austria-Orange-AUTCA,2,2,100.00%,100.00%,100.00%,2,68,4.51
24-10-2021,Brazil,Brazil-Vivo-Telemig-BRATC,2,2,100.00%,100.00%,100.00%,2,67,4.62
24-10-2021,Iraq,Iraq-Korek-IRQKK,4,3,,75.00%,75.00%,2,44,4.12
24-10-2021,Sweden,Sweden-Telenor-SWEEP,5,3,20.00%,100.00%,60.00%,2,40,4.79
24-10-2021,Indonesia,Indonesia-Excelcomindo-IDNEX,30,2,,100.00%,6.67%,2,57,3.49
24-10-2021,Bulgaria,Bulgaria-Globul-BGRCM,6,1,,100.00%,16.67%,2,109,4.84
24-10-2021,Uzbekistan,Uzbekistan-Unitel-UZBDU,12,3,8.33%,100.00%,25.00%,2,33,5.7
24-10-2021,Cameroon,Cameroon-MTN-CMRMT,10,2,33.33%,30.00%,20.00%,1,44,1.51
24-10-2021,Taiwan,Taiwan-Chunghwa-TWNLD,7,2,,28.57%,28.57%,1,42,1.24
24-10-2021,Congo Dem. Rep. ofåÊ (former Zaire),Congo (Democrat)-Vodacom-CODVC,5,3,40.00%,100.00%,60.00%,1,23,1.33
24-10-2021,Sri Lanka,Sri Lanka-Etisalat-LKACT,35,3,,100.00%,8.57%,1,23,2.52
24-10-2021,Poland,Poland-Era-T-Mobile-POL02,1,1,100.00%,100.00%,100.00%,1,68,6.67
24-10-2021,Kazakhstan,Kazakhstan-Kcell-KAZKZ,1,1,100.00%,100.00%,100.00%,1,68,5.24
24-10-2021,Belgium,Belgium-Mobistar-BELMO,1,1,100.00%,100.00%,100.00%,1,67,3.27
24-10-2021,Denmark,Denmark-TelenorAS-DNKDM,4,1,25.00%,100.00%,25.00%,1,67,3.56
24-10-2021,Guinea,Guinea-Areeba-GINAG,4,1,25.00%,100.00%,25.00%,1,53,4.94
24-10-2021,Algeria,Algeria-Wataniya-DZAWT,3,1,,100.00%,33.33%,1,52,3.06
24-10-2021,Indonesia,Indonesia-H3G-IDN89,13,1,,100.00%,7.69%,1,48,3.89
24-10-2021,Brazil,Brazil-Vivo-BRAV2,1,1,,100.00%,100.00%,1,43,4.33
24-10-2021,South Africa,South Africa-Vodacom-S.A-ZAFVC,29,1,,93.10%,3.45%,1,41,2.04
24-10-2021,Afghanistan,Afghanistan-Mtn Areeba-AFGAR,16,3,,87.50%,18.75%,1,12,5.62
24-10-2021,South Africa,South Africa-MTN-ZAFMN,4,1,,100.00%,25.00%,1,33,4.27
24-10-2021,Afghanistan,Afghanistan-Etisalat-AFGEA,33,1,3.13%,100.00%,3.03%,0,28,5.34
24-10-2021,Australia / Cocos-Keeling Islands,Australia-Vodafone-AUSVF,3,2,,100.00%,66.67%,0,11,11.07
24-10-2021,Gambia,Gambia-Africell-GMBAC,2,1,,100.00%,50.00%,0,20,4.86
24-10-2021,Senegal,Senegal-Espresso-SENEX,3,1,,100.00%,33.33%,0,17,3.45
24-10-2021,Ukraine,Ukraine-Astelit-UKRAS,1,1,,100.00%,100.00%,0,10,3.21
24-10-2021,New Zealand / Chatham Island (New Zealand),New Zealand-Telecom-NZLTM,7,1,,100.00%,14.29%,0,8,4.13
24-10-2021,Indonesia,Indonesia-Axis-IDNLT,18,2,18.18%,83.33%,11.11%,0,2,2.74
24-10-2021,Bosnia Herzegovina,Bosnia-Mtel-BIHMS,9,1,,88.89%,11.11%,0,2,6.15
24-10-2021,Romania,Romania-Cosmote-ROMCS,4,1,,75.00%,25.00%,0,1,5.29
24-10-2021,Mauritius,Mauritius-Emtel-MUSEM,10,1,,100.00%,10.00%,0,1,4.05
24-10-2021,Niger,Niger-Moov-NERTL,7,1,,85.71%,14.29%,0,1,1.1
24-10-2021,India,India-Bsnl,4,1,,100.00%,25.00%,0,0,3.39
24-10-2021,Uzbekistan,Uzbekistan-Coscom-UZB05,11,1,,100.00%,9.09%,0,0,6.11
24-10-2021,Albania,Albania-Vodafone-ALBVF,2,0,,50.00%,0.00%,0,,2.76
24-10-2021,Argentina,Argentina-Tele-ARGTP,1,0,,100.00%,0.00%,0,,1.4
24-10-2021,Bangladesh,Bangladesh-Airtel-BGDWT,15,0,,100.00%,0.00%,0,,5.56
24-10-2021,Benin,Benin-Etisalat-BEN02,1,0,,100.00%,0.00%,0,,
24-10-2021,Bulgaria,Bulgaria-Vivacom-BGRVA,1,0,,100.00%,0.00%,0,,3.46
24-10-2021,Congo Dem. Rep. ofåÊ (former Zaire),Congo (Democrat)-Airtel-CODCT,1,0,,100.00%,0.00%,0,,5.55
24-10-2021,Congo Dem. Rep. ofåÊ (former Zaire),Congo (Democrat)-Tigo-CODSA,1,0,,100.00%,0.00%,0,,1.85
24-10-2021,Djibouti,Djibouti-Teleco-DJIDJ,6,0,,100.00%,0.00%,0,,3.77
24-10-2021,Gabon,Gabon-Liberis-GAB01,1,0,,100.00%,0.00%,0,,
24-10-2021,Ghana,Ghana-Onetouch-GHAGT,2,0,,100.00%,0.00%,0,,4.44
24-10-2021,Guinea,Guinea-Orange-GINGS,6,0,,0.00%,0.00%,0,,
24-10-2021,India,India-Etisalat,2,0,,100.00%,0.00%,0,,2.6
24-10-2021,IntNet1,IntNet1-ONAIR-CHE-Plane-CHEOA,21,0,,95.24%,0.00%,0,,5.99
24-10-2021,IntNet1,IntNet1-Thuraya-UAE-Sat-ARETH,3,0,,100.00%,0.00%,0,,18.52
24-10-2021,Iran,Iran-MCI-IRN11,4,0,,100.00%,0.00%,0,,7.66
24-10-2021,Iran,Iran-MTN-IRNMI,14,0,,100.00%,0.00%,0,,1.69
24-10-2021,Iraq,Iraq-Asiacell-IRQAC,1,0,,100.00%,0.00%,0,,5.56
24-10-2021,Japan,Japan-Docomo-JPNDO,3,0,,100.00%,0.00%,0,,8.35
24-10-2021,Kyrgyz Republic,Kyrgyz-Sky-KGZ01,4,0,,100.00%,0.00%,0,,3.73
24-10-2021,Macedonia,Macedonia-Vip-MKDNO,1,0,,100.00%,0.00%,0,,4.5
24-10-2021,Mali,Mali-Orange-MLI02,1,0,,100.00%,0.00%,0,,4.28
24-10-2021,Mauritania,Mauritania-Chinguitel-MRTCH,29,0,,100.00%,0.00%,0,,4.87
24-10-2021,Mauritania,Mauritania-Mauritel-MRTMM,13,0,,100.00%,0.00%,0,,3.6
24-10-2021,Mauritius,Mauritius-Orange-MUSCP,8,0,,100.00%,0.00%,0,,4.36
24-10-2021,Mexico,Mexico-Telcl-MEXTL,1,0,,0.00%,0.00%,0,,0.84
24-10-2021,Nigeria,Nigeria-Glomobile-NGAGM,1,0,,100.00%,0.00%,0,,0.61
24-10-2021,Nigeria,Nigeria-Mtn-NGAMN,9,0,,100.00%,0.00%,0,,2.4
24-10-2021,Norway,Norway-Telenor-NORTM,2,0,,50.00%,0.00%,0,,
24-10-2021,Pakistan,Pakistan-Telenor-PAKTP,1,0,,100.00%,0.00%,0,,2.17
24-10-2021,Portugal,Portugal-Vodafone-PRTTL,9,0,,88.89%,0.00%,0,,3.29
24-10-2021,Russia,Russia-Mts-RUS01,2,0,,50.00%,0.00%,0,,2.5
24-10-2021,Senegal,Senegal-Sonatel-SENAZ,25,0,,100.00%,0.00%,0,,2.25
24-10-2021,Singapore,Singapore-Mobileone-SGPM1,4,0,,100.00%,0.00%,0,,5.26
24-10-2021,Thailand,Thailand-AWN-THAWN,1,0,,100.00%,0.00%,0,,4.24
24-10-2021,Togo,Togo-Moov-TGOTL,3,0,,100.00%,0.00%,0,,1.19
24-10-2021,Tunisia,Tunisia-Orange-TUNOR,1,0,,100.00%,0.00%,0,,4.76
24-10-2021,UNKNOWN,Russia-Tele2-RUST2,4,0,,50.00%,0.00%,0,,3.75
24-10-2021,USA/Canada,Canada-Rogers-CANRW,1,0,,100.00%,0.00%,0,,6.14
24-10-2021,USA/Canada,Jamaica-Digicel-JAMDC,3,0,,0.00%,0.00%,0,,
24-10-2021,USA/Canada,USA-ATT-USABS,3,0,,100.00%,0.00%,0,,3.38
24-10-2021,Vietnam,Vietnam-Viettel-VNMVT,1,0,,100.00%,0.00%,0,,6.65
24-10-2021,Yemen,Yemen-Y-Telecom-YEMYY,1,0,,100.00%,0.00%,0,,1.99

