Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
25-10-2021 06:00,Bangladesh,Bangladesh-Grameen-BGDGP,630,181,7.67%,95.40%,28.73%,603,200,2.75
25-10-2021 18:00,Bahrain,Bahrain-Batelco-BHRBT,536,244,1.12%,99.44%,45.52%,596,147,5.48
25-10-2021 18:00,Yemen,Yemen-Mtn-YEMSP,173,35,5.56%,96.53%,20.23%,593,"1,017",7.04
25-10-2021 15:00,Egypt,Egypt-Vodafone-EGYMS,444,168,1.78%,97.97%,37.84%,587,210,3.71
25-10-2021 16:00,Egypt,Egypt-Vodafone-EGYMS,521,187,2.63%,98.46%,35.89%,571,183,3.87
25-10-2021 17:00,Egypt,Egypt-Vodafone-EGYMS,498,180,1.61%,97.59%,36.14%,569,190,3.77
25-10-2021 22:00,Yemen,Yemen-Sabafon-YEMSA,95,25,9.30%,93.68%,26.32%,568,"1,363",9.14
25-10-2021 17:00,Yemen,Yemen-Mtn-YEMSP,160,34,5.59%,98.13%,21.25%,559,987,7.75
25-10-2021 20:00,Egypt,Egypt-Mobinil-EGYAR,482,181,1.46%,97.72%,37.55%,550,182,3.76
25-10-2021 07:00,Yemen,Yemen-Mtn-YEMSP,77,26,11.27%,98.70%,33.77%,549,"1,266",6.79
25-10-2021 00:00,UAE,UAE-Etisalat-ARETC,235,85,14.42%,95.32%,36.17%,541,382,3.2
25-10-2021 10:00,Egypt,Egypt-Mobinil-EGYAR,603,173,2.85%,98.51%,28.69%,539,187,3.55
25-10-2021 15:00,Bahrain,Bahrain-Batelco-BHRBT,480,227,0.63%,98.54%,47.29%,532,141,5.23
25-10-2021 13:00,Bahrain,Bahrain-Batelco-BHRBT,410,197,0.49%,98.78%,48.05%,531,162,5.65
25-10-2021 20:00,Bahrain,Bahrain-Batelco-BHRBT,482,228,1.45%,99.38%,47.30%,530,140,5.08
25-10-2021 17:00,Bahrain,Bahrain-Batelco-BHRBT,535,234,0.38%,99.63%,43.74%,530,136,5.45
25-10-2021 20:00,Egypt,Egypt-Vodafone-EGYMS,456,158,1.49%,99.56%,34.65%,526,200,3.73
25-10-2021 14:00,Bangladesh,Bangladesh-Grameen-BGDGP,650,166,6.50%,98.46%,25.54%,525,190,2.84
25-10-2021 16:00,India,India-Idea,382,118,9.63%,96.34%,30.89%,523,266,3.71
25-10-2021 12:00,India,India-Idea,451,169,9.93%,98.89%,37.47%,521,185,3.59
25-10-2021 19:00,Egypt,Egypt-Vodafone-EGYMS,474,165,0.94%,99.37%,34.81%,520,189,3.72
25-10-2021 23:00,Egypt,Egypt-Mobinil-EGYAR,234,94,1.43%,99.57%,40.17%,518,331,3.63
25-10-2021 17:00,India,India-Idea,403,139,11.62%,98.51%,34.49%,510,220,3.7
25-10-2021 19:00,Egypt,Egypt-Mobinil-EGYAR,487,160,2.54%,96.92%,32.85%,509,191,3.35
25-10-2021 11:00,Egypt,Egypt-Vodafone-EGYMS,504,149,0.89%,99.21%,29.56%,507,204,3.74
25-10-2021 22:00,Egypt,Egypt-Mobinil-EGYAR,292,118,2.02%,98.97%,40.41%,494,251,3.57
25-10-2021 19:00,Yemen,Yemen-Sabafon-YEMSA,209,32,6.18%,97.61%,15.31%,489,916,10.52
25-10-2021 12:00,Bahrain,Bahrain-Batelco-BHRBT,381,174,,99.74%,45.67%,483,166,5.51
25-10-2021 21:00,Bahrain,Bahrain-Batelco-BHRBT,448,218,0.90%,99.55%,48.66%,482,133,5.4
25-10-2021 12:00,Egypt,Egypt-Vodafone-EGYMS,520,183,1.50%,98.85%,35.19%,478,157,3.83
25-10-2021 19:00,India,India-Idea,390,127,12.01%,95.13%,32.56%,478,226,3.81
25-10-2021 16:00,Bahrain,Bahrain-Batelco-BHRBT,498,233,1.41%,98.80%,46.79%,474,122,5.41
25-10-2021 06:00,Yemen,Yemen-Mtn-YEMSP,114,34,10.81%,100.00%,29.82%,467,824,5.27
25-10-2021 07:00,UAE,UAE-Etisalat-ARETC,335,144,18.01%,99.10%,42.99%,466,194,4.17
25-10-2021 22:00,Jordan,Jordan-Orange-JORMC,111,45,4.81%,96.40%,40.54%,465,619,4.03
25-10-2021 11:00,Yemen,Yemen-Mtn-YEMSP,184,31,4.07%,96.74%,16.85%,464,899,7.43
25-10-2021 14:00,India,India-Idea,383,133,10.46%,97.13%,34.73%,464,209,3.91
25-10-2021 00:00,Egypt,Egypt-Mobinil-EGYAR,151,41,0.87%,97.35%,27.15%,455,665,3.09
25-10-2021 11:00,Jordan,Jordan-Orange-JORMC,262,116,3.33%,94.66%,44.27%,452,234,3.5
25-10-2021 20:00,Bangladesh,Bangladesh-Grameen-BGDGP,471,102,4.53%,96.39%,21.66%,451,265,2.84
25-10-2021 14:00,Bahrain,Bahrain-Batelco-BHRBT,400,192,1.00%,99.50%,48.00%,447,140,5.09
25-10-2021 11:00,Bahrain,Bahrain-Batelco-BHRBT,385,187,1.04%,99.22%,48.57%,446,143,5.29
25-10-2021 15:00,Yemen,Yemen-Mtn-YEMSP,142,33,7.30%,97.18%,23.24%,446,811,6.62
25-10-2021 08:00,India,India-Idea,395,119,11.89%,99.24%,30.13%,444,224,4.07
25-10-2021 12:00,Jordan,Jordan-Orange-JORMC,264,104,2.02%,98.48%,39.39%,438,253,3.41
25-10-2021 10:00,Bahrain,Bahrain-Batelco-BHRBT,330,156,0.91%,99.39%,47.27%,435,167,5.56
25-10-2021 10:00,India,India-Idea,322,107,12.86%,97.83%,33.23%,429,241,3.73
25-10-2021 09:00,Egypt,Egypt-Mobinil-EGYAR,453,132,2.24%,97.13%,29.14%,426,194,3.7
25-10-2021 21:00,Egypt,Egypt-Vodafone-EGYMS,358,131,2.86%,98.60%,36.59%,425,195,3.88
25-10-2021 08:00,Yemen,Yemen-Mtn-YEMSP,103,29,8.33%,97.09%,28.16%,416,862,6.62
25-10-2021 08:00,Yemen,Yemen-Sabafon-YEMSA,69,17,10.94%,98.55%,24.64%,406,"1,435",10.71
25-10-2021 01:00,Egypt,Egypt-Mobinil-EGYAR,84,31,1.28%,98.81%,36.90%,406,787,3.89
25-10-2021 07:00,Yemen,Yemen-Sabafon-YEMSA,63,24,11.67%,96.83%,38.10%,405,"1,013",10.88
25-10-2021 15:00,Jordan,Jordan-Orange-JORMC,237,104,2.28%,96.62%,43.88%,404,233,3.36
25-10-2021 18:00,Jordan,Jordan-Orange-JORMC,247,87,1.75%,97.98%,35.22%,401,277,3.45
25-10-2021 11:00,Yemen,Yemen-Sabafon-YEMSA,76,16,3.03%,97.37%,21.05%,394,"1,478",8.01
25-10-2021 14:00,Yemen,Yemen-Sabafon-YEMSA,131,23,7.92%,88.55%,17.56%,393,"1,026",7.57
25-10-2021 17:00,Jordan,Jordan-Orange-JORMC,237,110,1.79%,97.89%,46.41%,387,211,3.45
25-10-2021 20:00,India,India-Idea,225,67,10.70%,98.22%,29.78%,381,341,3.82
25-10-2021 00:00,Egypt,Egypt-Vodafone-EGYMS,178,65,1.27%,98.88%,36.52%,373,345,3.68
25-10-2021 07:00,India,India-Idea,303,98,7.67%,98.68%,32.34%,372,228,4.07
25-10-2021 12:00,Yemen,Yemen-Mtn-YEMSP,128,20,6.50%,97.66%,15.63%,366,"1,098",9.58
25-10-2021 02:00,Egypt,Egypt-EtisalatMisr-EGYEM,184,49,3.18%,99.46%,26.63%,359,440,3.74
25-10-2021 13:00,Jordan,Jordan-Orange-JORMC,234,105,0.48%,94.87%,44.87%,359,205,3.15
25-10-2021 09:00,India,India-Idea,336,114,11.25%,98.51%,33.93%,349,184,3.96
25-10-2021 16:00,Jordan,Jordan-Orange-JORMC,268,112,0.40%,95.52%,41.79%,347,186,3.31
25-10-2021 17:00,Yemen,Yemen-Sabafon-YEMSA,163,26,5.63%,99.39%,15.95%,341,786,8.46
25-10-2021 14:00,Jordan,Jordan-Orange-JORMC,275,110,,91.27%,40.00%,340,186,3.27
25-10-2021 10:00,Egypt,Egypt-Vodafone-EGYMS,413,116,1.06%,98.55%,28.09%,339,175,3.68
25-10-2021 18:00,India,India-Tata,287,63,4.91%,98.26%,21.95%,338,322,3.99
25-10-2021 09:00,India,India-Tata,182,58,6.15%,98.90%,31.87%,336,347,3.84
25-10-2021 16:00,Jordan,Jordan-Zain-JORFL,206,79,1.12%,95.15%,38.35%,329,250,3.24
25-10-2021 15:00,Yemen,Yemen-Sabafon-YEMSA,155,17,6.56%,97.42%,10.97%,328,"1,157",8.66
25-10-2021 13:00,India,India-Tata,162,53,3.14%,98.15%,32.72%,324,367,3.33
25-10-2021 23:00,Egypt,Egypt-Vodafone-EGYMS,176,64,1.83%,98.30%,36.36%,322,302,3.82
25-10-2021 15:00,India,India-Idea,343,97,6.89%,96.50%,28.28%,317,196,3.81
25-10-2021 14:00,United Kingdom,UK-T-Mobile-GBRME,146,73,,91.10%,50.00%,312,257,3.34
25-10-2021 19:00,Jordan,Jordan-Orange-JORMC,208,72,2.66%,94.23%,34.62%,304,254,3.36
25-10-2021 14:00,Jordan,Jordan-Zain-JORFL,171,81,1.29%,96.49%,47.37%,304,225,3.17
25-10-2021 15:00,Jordan,Jordan-Zain-JORFL,169,77,0.65%,99.41%,45.56%,303,236,3.23
25-10-2021 11:00,India,India-Idea,321,123,14.97%,98.13%,38.32%,303,148,3.87
25-10-2021 18:00,Jordan,Jordan-Zain-JORFL,154,58,0.75%,88.96%,37.66%,299,310,2.84
25-10-2021 21:00,India,India-Idea,157,43,9.33%,98.73%,27.39%,299,417,3.64
25-10-2021 22:00,Bahrain,Bahrain-Batelco-BHRBT,298,142,0.67%,98.99%,47.65%,294,124,5.37
25-10-2021 23:00,Jordan,Jordan-Orange-JORMC,93,34,3.30%,96.77%,36.56%,289,511,3.95
25-10-2021 07:00,India,India-Tata,114,40,5.31%,100.00%,35.09%,289,433,3.89
25-10-2021 09:00,Yemen,Yemen-Sabafon-YEMSA,90,15,7.14%,97.78%,16.67%,287,"1,149",7.74
25-10-2021 19:00,Jordan,Jordan-Zain-JORFL,118,59,0.89%,99.15%,50.00%,280,285,2.99
25-10-2021 20:00,Jordan,Jordan-Orange-JORMC,182,72,3.53%,93.96%,39.56%,276,230,3.38
25-10-2021 12:00,Yemen,Yemen-Sabafon-YEMSA,93,24,7.23%,97.85%,25.81%,275,687,9.93
25-10-2021 02:00,Yemen,Yemen-Mtn-YEMSP,57,16,3.70%,100.00%,28.07%,274,"1,029",7.49
25-10-2021 05:00,Bangladesh,Bangladesh-Grameen-BGDGP,316,80,8.28%,98.10%,25.32%,274,205,2.89
25-10-2021 23:00,Bahrain,Bahrain-Batelco-BHRBT,197,82,0.51%,98.98%,41.62%,273,200,5.52
25-10-2021 10:00,Jordan,Jordan-Orange-JORMC,236,86,1.78%,98.31%,36.44%,273,190,3.47
25-10-2021 12:00,Jordan,Jordan-Zain-JORFL,243,97,0.94%,95.88%,39.92%,266,165,3.81
25-10-2021 21:00,Bangladesh,Bangladesh-Grameen-BGDGP,313,49,3.53%,96.81%,15.65%,256,313,2.9
25-10-2021 08:00,Egypt,Egypt-EtisalatMisr-EGYEM,429,101,1.27%,98.37%,23.54%,255,151,3.4
25-10-2021 23:00,United Kingdom,UK-T-Mobile-GBRME,41,19,,75.61%,46.34%,255,805,2.76
25-10-2021 12:00,India,India-Tata,159,48,4.46%,98.74%,30.19%,255,319,3.52
25-10-2021 19:00,Bahrain,Bahrain-Zain-BHRMV,156,75,1.28%,99.36%,48.08%,245,196,4.91
25-10-2021 15:00,United Kingdom,UK-T-Mobile-GBRME,115,55,,92.17%,47.83%,245,267,3.38
25-10-2021 19:00,Bangladesh,Bangladesh-Banglalink-BGDBL,204,43,7.43%,99.02%,21.08%,245,342,2.73
25-10-2021 06:00,UAE,UAE-Etisalat-ARETC,233,100,23.04%,98.71%,42.92%,240,144,3.83
25-10-2021 01:00,Egypt,Egypt-Vodafone-EGYMS,80,30,,100.00%,37.50%,240,480,3.29
25-10-2021 18:00,Yemen,Yemen-Sabafon-YEMSA,199,27,3.68%,94.97%,13.57%,239,531,10.9
25-10-2021 09:00,Egypt,Egypt-Vodafone-EGYMS,356,101,0.30%,97.19%,28.37%,239,142,3.64
25-10-2021 14:00,India,India-Tata,178,50,6.90%,98.88%,28.09%,237,285,3.91
25-10-2021 21:00,Jordan,Jordan-Orange-JORMC,152,64,6.76%,97.37%,42.11%,232,217,3.49
25-10-2021 09:00,Bahrain,Bahrain-Batelco-BHRBT,254,101,0.79%,98.03%,39.76%,230,136,5.3
25-10-2021 23:00,Yemen,Yemen-Sabafon-YEMSA,41,5,5.71%,97.56%,12.20%,226,"2,712",6.95
25-10-2021 17:00,Jordan,Jordan-Zain-JORFL,129,59,0.88%,95.35%,45.74%,225,229,3.14
25-10-2021 17:00,India,India-Tata,209,61,7.28%,99.52%,29.19%,222,219,3.6
25-10-2021 13:00,Yemen,Yemen-Sabafon-YEMSA,74,23,3.03%,91.89%,31.08%,222,579,7.99
25-10-2021 01:00,Yemen,Yemen-Mtn-YEMSP,49,15,2.27%,100.00%,30.61%,214,856,6.18
25-10-2021 17:00,Bangladesh,Bangladesh-Banglalink-BGDBL,225,47,1.79%,98.22%,20.89%,211,269,2.6
25-10-2021 18:00,Bangladesh,Bangladesh-Banglalink-BGDBL,219,53,8.72%,96.35%,24.20%,207,234,2.31
25-10-2021 20:00,Bahrain,Bahrain-Zain-BHRMV,158,70,0.65%,98.73%,44.30%,205,176,4.85
25-10-2021 22:00,United Kingdom,UK-T-Mobile-GBRME,67,26,1.82%,76.12%,38.81%,202,465,2.52
25-10-2021 10:00,Yemen,Yemen-Sabafon-YEMSA,109,12,3.03%,94.50%,11.01%,199,993,8.39
25-10-2021 13:00,Jordan,Jordan-Zain-JORFL,183,85,1.81%,96.17%,46.45%,196,138,3.37
25-10-2021 10:00,Jordan,Jordan-Zain-JORFL,168,71,,98.81%,42.26%,196,165,2.98
25-10-2021 08:00,Bangladesh,Bangladesh-Banglalink-BGDBL,234,63,8.12%,97.01%,26.92%,194,185,2.71
25-10-2021 14:00,Bangladesh,Bangladesh-Banglalink-BGDBL,208,48,7.32%,98.56%,23.08%,194,243,2.29
25-10-2021 14:00,India,India-Unitech,91,18,1.12%,98.90%,19.78%,193,643,3.96
25-10-2021 18:00,Bahrain,Bahrain-Zain-BHRMV,150,64,1.34%,99.33%,42.67%,192,180,4.97
25-10-2021 21:00,United Kingdom,UK-T-Mobile-GBRME,70,30,,81.43%,42.86%,191,383,3.15
25-10-2021 03:00,Yemen,Yemen-Mtn-YEMSP,42,9,7.50%,97.62%,21.43%,190,"1,266",5.48
25-10-2021 11:00,Jordan,Jordan-Zain-JORFL,153,64,1.37%,98.69%,41.83%,189,177,3.44
25-10-2021 13:00,Bangladesh,Bangladesh-Banglalink-BGDBL,191,52,8.51%,99.48%,27.23%,188,217,2.5
25-10-2021 19:00,India,India-Tata,177,42,6.94%,100.00%,23.73%,184,262,3.65
25-10-2021 06:00,Egypt,Egypt-EtisalatMisr-EGYEM,112,31,1.92%,95.54%,27.68%,181,351,3.36
25-10-2021 16:00,Yemen,Yemen-Sabafon-YEMSA,155,18,0.78%,98.71%,11.61%,180,601,9.35
25-10-2021 08:00,India,India-Tata,158,51,8.92%,100.00%,32.28%,180,212,3.95
25-10-2021 10:00,India,India-Tata,166,51,5.56%,99.40%,30.72%,179,211,3.6
25-10-2021 12:00,Bangladesh,Bangladesh-Banglalink-BGDBL,272,58,8.15%,98.90%,21.32%,178,184,2.77
25-10-2021 22:00,Jordan,Jordan-Zain-JORFL,90,39,1.25%,92.22%,43.33%,178,274,2.93
25-10-2021 11:00,India,India-Tata,139,50,5.07%,99.28%,35.97%,176,212,3.64
25-10-2021 16:00,Bahrain,Bahrain-Zain-BHRMV,150,57,2.04%,97.33%,38.00%,175,185,4.79
25-10-2021 12:00,Bahrain,Bahrain-Zain-BHRMV,130,68,2.31%,98.46%,52.31%,174,154,4.75
25-10-2021 17:00,United Kingdom,UK-T-Mobile-GBRME,105,43,,81.90%,40.95%,174,243,3.17
25-10-2021 15:00,Bahrain,Bahrain-Zain-BHRMV,144,66,0.70%,98.61%,45.83%,172,156,4.94
25-10-2021 06:00,India,India-Idea,176,53,9.14%,98.30%,30.11%,170,193,3.94
25-10-2021 10:00,Bahrain,Bahrain-Zain-BHRMV,150,67,1.34%,98.67%,44.67%,169,152,4.89
25-10-2021 01:00,UAE,UAE-Etisalat-ARETC,116,44,19.63%,98.28%,37.93%,169,230,3.14
25-10-2021 04:00,Egypt,Egypt-EtisalatMisr-EGYEM,101,14,1.03%,100.00%,13.86%,168,719,3.31
25-10-2021 07:00,Egypt,Egypt-EtisalatMisr-EGYEM,208,49,2.54%,98.08%,23.56%,166,204,3.65
25-10-2021 02:00,Egypt,Egypt-Mobinil-EGYAR,76,15,1.69%,100.00%,19.74%,166,662,3.34
25-10-2021 09:00,Jordan,Jordan-Orange-JORMC,187,62,2.55%,94.65%,33.16%,163,158,3.33
25-10-2021 08:00,Bahrain,Bahrain-Batelco-BHRBT,133,61,0.76%,99.25%,45.86%,160,157,5.26
25-10-2021 20:00,Jordan,Jordan-Zain-JORFL,140,53,3.17%,95.71%,37.86%,159,180,3.07
25-10-2021 03:00,Egypt,Egypt-EtisalatMisr-EGYEM,112,27,3.85%,100.00%,24.11%,158,351,3.57
25-10-2021 15:00,Bangladesh,Bangladesh-Banglalink-BGDBL,213,50,9.57%,95.31%,23.47%,155,186,2.74
25-10-2021 09:00,India,India-Bpl,89,36,19.54%,100.00%,40.45%,152,253,3.95
25-10-2021 13:00,Jordan,Jordan-Umniah-JORUM,70,31,1.59%,95.71%,44.29%,152,294,3.45
25-10-2021 19:00,India,India-Bpl,51,23,21.57%,100.00%,45.10%,150,392,4.47
25-10-2021 16:00,Bangladesh,Bangladesh-Banglalink-BGDBL,266,63,6.90%,95.86%,23.68%,145,138,2.33
25-10-2021 00:00,United Kingdom,UK-T-Mobile-GBRME,23,12,,91.30%,52.17%,145,724,3.67
25-10-2021 02:00,Egypt,Egypt-Vodafone-EGYMS,57,26,2.04%,100.00%,45.61%,143,329,4.41
25-10-2021 00:00,Jordan,Jordan-Orange-JORMC,58,17,1.89%,98.28%,29.31%,140,494,3.55
25-10-2021 19:00,USA/Canada,USA-ATT-Cingular-USACG,56,23,1.79%,100.00%,41.07%,139,363,4.73
25-10-2021 15:00,India,India-Tata,101,29,6.12%,99.01%,28.71%,136,282,3.71
25-10-2021 13:00,United Kingdom,UK-T-Mobile-GBRME,111,43,0.98%,95.50%,38.74%,136,189,3.62
25-10-2021 18:00,United Kingdom,UK-T-Mobile-GBRME,95,41,,85.26%,43.16%,135,198,3.48
